iter	Passed	Remaining
0	48	48326
1	48	24407
2	50	16740
3	51	12802
4	52	10444
5	53	8857
6	54	7723
7	55	6836
8	56	6179
9	57	5656
10	58	5243
11	59	4892
12	60	4581
13	61	4319
14	62	4087
15	63	3884
16	64	3717
17	65	3558
18	66	3413
19	67	3286
20	67	3169
21	69	3067
22	69	2972
23	71	2888
24	72	2813
25	73	2751
26	74	2694
27	75	2625
28	76	2567
29	79	2585
30	80	2527
31	82	2483
32	82	2432
33	83	2384
34	85	2352
35	86	2310
36	87	2269
37	88	2231
38	89	2198
39	90	2167
40	91	2144
41	92	2111
42	93	2083
43	94	2055
44	95	2028
45	96	2001
46	97	1976
47	98	1950
48	99	1927
49	100	1906
50	101	1885
51	102	1865
52	103	1845
53	104	1825
54	105	1805
55	105	1785
56	106	1766
57	107	1748
58	108	1731
59	109	1714
60	110	1698
61	111	1694
62	112	1673
63	113	1654
64	113	1629
65	114	1614
66	114	1598
67	115	1582
68	116	1571
69	116	1553
70	117	1537
71	118	1521
72	118	1507
73	119	1492
74	119	1477
75	120	1461
76	120	1446
77	121	1432
78	121	1418
79	122	1405
80	122	1392
81	123	1378
82	123	1363
83	123	1350
84	124	1337
85	124	1325
86	125	1312
87	125	1300
88	125	1288
89	126	1276
90	126	1264
91	126	1252
92	127	1241
93	127	1230
94	128	1220
95	128	1211
96	129	1201
97	129	1192
98	129	1183
99	130	1173
100	130	1164
101	131	1156
102	131	1145
103	131	1135
104	132	1125
105	132	1116
106	132	1106
107	132	1097
108	133	1088
109	133	1079
110	133	1070
111	133	1061
112	134	1052
113	134	1043
114	134	1035
115	134	1027
116	134	1018
117	135	1010
118	135	1002
119	135	994
120	135	986
121	135	978
122	136	971
123	136	963
124	136	956
125	136	949
126	137	941
127	137	934
128	137	928
129	137	921
130	137	914
131	138	907
132	138	900
133	138	894
134	138	887
135	138	881
136	138	874
137	139	869
138	139	863
139	139	858
140	139	852
141	140	846
142	140	841
143	140	835
144	140	830
145	141	824
146	141	819
147	141	814
148	141	809
149	141	803
150	142	798
151	142	793
152	142	788
153	142	783
154	142	779
155	143	774
156	143	769
157	143	764
158	143	760
159	143	755
160	144	750
161	144	746
162	144	741
163	144	736
164	144	732
165	144	728
166	145	723
167	145	719
168	145	715
169	145	711
170	145	707
171	146	703
172	146	699
173	146	695
174	146	691
175	146	687
176	146	683
177	147	679
178	147	675
179	147	672
180	147	668
181	148	665
182	148	661
183	148	658
184	148	655
185	149	652
186	149	648
187	149	645
188	149	641
189	149	638
190	150	635
191	150	632
192	150	628
193	150	625
194	150	622
195	150	619
196	151	615
197	151	613
198	151	610
199	151	607
200	152	605
201	152	602
202	152	598
203	152	595
204	152	592
205	153	590
206	153	587
207	153	584
208	153	581
209	153	578
210	153	575
211	154	573
212	154	570
213	154	567
214	154	564
215	154	562
216	155	559
217	155	556
218	155	554
219	155	551
220	155	548
221	155	546
222	156	543
223	156	541
224	156	538
225	156	536
226	156	533
227	156	531
228	157	528
229	157	526
230	157	524
231	157	521
232	157	519
233	157	517
234	158	514
235	158	512
236	158	510
237	158	507
238	158	505
239	159	503
240	159	501
241	159	499
242	159	497
243	159	494
244	159	492
245	160	490
246	160	488
247	160	486
248	160	484
249	160	482
250	161	480
251	161	478
252	161	476
253	161	474
254	161	472
255	161	470
256	162	468
257	162	466
258	162	464
259	162	462
260	162	460
261	162	459
262	163	457
263	163	455
264	163	453
265	163	451
266	163	449
267	163	447
268	164	446
269	164	444
270	164	442
271	164	440
272	164	438
273	165	437
274	165	435
275	165	433
276	165	432
277	165	430
278	165	428
